"seq","aou","english_common_name","species_name"
3628,"07610","American Robin","Turdus migratorius"
3631,"17070","Red-legged Thrush","Turdus plumbeus"
3634,"07630","Varied Thrush","Ixoreus naevius"
3637,"07631","Aztec Thrush","Ridgwayia pinicola"
3640,"07040","Gray Catbird","Dumetella carolinensis"
3643,"17090","Black Catbird","Melanoptila glabrirostris"
3646,"07030","Northern Mockingbird","Mimus polyglottos"
3649,"17100","Tropical Mockingbird","Mimus gilvus"
3652,"17110","Socorro Mockingbird","Mimus graysoni"
3655,"07031","Bahama Mockingbird","Mimus gundlachii"
3658,"07020","Sage Thrasher","Oreoscoptes montanus"
3661,"07050","Brown Thrasher","Toxostoma rufum"
3664,"07060","Long-billed Thrasher","Toxostoma longirostre"
3667,"17120","Cozumel Thrasher","Toxostoma guttatum"
3670,"07090","Gray Thrasher","Toxostoma cinereum"
3673,"07080","Bendire's Thrasher","Toxostoma bendirei"
3676,"17130","Ocellated Thrasher","Toxostoma ocellatum"
3679,"07070","Curve-billed Thrasher","Toxostoma curvirostre"
3682,"07100","California Thrasher","Toxostoma redivivum"
3685,"07120","Crissal Thrasher","Toxostoma crissale"
3688,"07110","Le Conte's Thrasher","Toxostoma lecontei"
3691,"17150","Blue Mockingbird","Melanotis caerulescens"
3694,"17160","Blue-and-white Mockingbird","Melanotis hypoleucus"
3697,"17180","Pearly-eyed Thrasher","Margarops fuscatus"
3700,"04930","European Starling","Sturnus vulgaris"
3703,"04932","Common Myna","Acridotheres tristis"
3706,"17520","Hill Myna","Gracula religiosa"
3709,"04931","Crested Myna","Acridotheres cristatellus"
3712,"07491","Siberian Accentor","Prunella montanella"
3715,"06960","Eastern Yellow Wagtail","Motacilla tschutschensis"
3721,"06961","Gray Wagtail","Motacilla cinerea"
3724,"06940","White Wagtail","Motacilla alba"
3727,"06982","Tree Pipit","Anthus trivialis"
3730,"06983","Olive-backed Pipit","Anthus hodgsoni"
3733,"06981","Pechora Pipit","Anthus gustavi"
3736,"06990","Red-throated Pipit","Anthus cervinus"
3739,"06970","American Pipit","Anthus rubescens"
3742,"07000","Sprague's Pipit","Anthus spragueii"
3745,"06180","Bohemian Waxwing","Bombycilla garrulus"
3748,"06190","Cedar Waxwing","Bombycilla cedrorum"
3751,"06185","unid. Cedar Waxwing / Bohemian Waxwing","Bombycilla garrulus / cedrorum"
3754,"17220","Gray Silky-flycatcher","Ptilogonys cinereus"
3757,"06200","Phainopepla","Phainopepla nitens"
3760,"06510","Olive Warbler","Peucedramus taeniatus"
3763,"05360","Lapland Longspur","Calcarius lapponicus"
3766,"05380","Chestnut-collared Longspur","Calcarius ornatus"
3769,"05370","Smith's Longspur","Calcarius pictus"
3772,"05390","McCown's Longspur","Rhynchophanes mccownii"
3775,"05340","Snow Bunting","Plectrophenax nivalis"
3778,"05350","McKay's Bunting","Plectrophenax hyperboreus"
3781,"06740","Ovenbird","Seiurus aurocapilla"
3784,"06390","Worm-eating Warbler","Helmitheros vermivorum"
3787,"06760","Louisiana Waterthrush","Parkesia motacilla"
3790,"06750","Northern Waterthrush","Parkesia noveboracensis"
3793,"06420","Golden-winged Warbler","Vermivora chrysoptera"
3796,"06410","Blue-winged Warbler","Vermivora cyanoptera"
3799,"06412","Brewster's Warbler (Golden-winged x Blue-winged)","Vermivora chrysoptera x cyanoptera"
3802,"06413","Lawrence's Warbler (Golden-winged x Blue-winged)","Vermivora chrysoptera x cyanoptera"
3805,"06360","Black-and-white Warbler","Mniotilta varia"
3808,"06370","Prothonotary Warbler","Protonotaria citrea"
3811,"06380","Swainson's Warbler","Limnothlypis swainsonii"
3814,"06492","Crescent-chested Warbler","Oreothlypis superciliosa"
3817,"06470","Tennessee Warbler","Oreothlypis peregrina"
3820,"06460","Orange-crowned Warbler","Oreothlypis celata"
3823,"06471","Colima Warbler","Oreothlypis crissalis"
3826,"06430","Lucy's Warbler","Oreothlypis luciae"
3829,"06450","Nashville Warbler","Oreothlypis ruficapilla"
3832,"06440","Virginia's Warbler","Oreothlypis virginiae"
3835,"06780","Connecticut Warbler","Oporornis agilis"
3838,"06821","Gray-crowned Yellowthroat","Geothlypis poliocephala"
